k,hours,val_hour_benefit,val_mean_benefit,test_mean_benefit,test_total_benefit,n_samples
1,[9],19.65185760563817,19.651857605638178,5.072939394447823,147.11524243898685,29
2,"[9, 11]",8.690782866313539,14.171320235975859,5.751899591367048,333.61017629928875,58
3,"[8, 9, 11]",5.9982995168299515,11.446979996260554,3.993584481684127,347.44184990651905,87
4,"[8, 9, 10, 11]",5.7125881737676165,10.01338204063732,5.208343158303278,604.1678063631803,116
5,"[8, 9, 10, 11, 14]",4.898928141265079,8.990491260762871,6.526215133683948,946.3011943841725,145
6,"[8, 9, 10, 11, 13, 14]",3.643382702202633,8.099306501002832,7.036477095697546,1224.347014651373,174
7,"[8, 9, 10, 11, 13, 14, 15]",2.982619978872867,7.368351283555695,7.429549544961949,1508.1985576272757,203
8,"[0, 8, 9, 10, 11, 13, 14, 15]",1.180384665768723,6.594855456332323,6.5140282938468825,1511.2545641724766,232
9,"[0, 7, 8, 9, 10, 11, 13, 14, 15]",1.0042135646425432,5.973673023922347,5.9253065201851385,1546.505001768321,261
10,"[0, 1, 7, 8, 9, 10, 11, 13, 14, 15]",0.521471223296791,5.428452843859792,5.429127421690986,1574.446952290386,290
11,"[0, 1, 4, 7, 8, 9, 10, 11, 13, 14, 15]",0.4097822022849163,4.972210058262076,4.969693904133706,1585.3323554186522,319
12,"[0, 1, 2, 4, 7, 8, 9, 10, 11, 13, 14, 15]",0.3517692421428129,4.58717332358547,4.612028970241804,1604.9860816441476,348
13,"[0, 1, 2, 4, 7, 8, 9, 10, 11, 13, 14, 15, 19]",0.3444221187460008,4.260807846290127,4.291830766351662,1618.0201989145767,377
14,"[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 19]",0.22207652702413802,3.9723270377711275,4.021002318828775,1632.5269414444829,406
15,"[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 19]",0.18461857877928353,3.7198131405050043,3.72803318915058,1621.6944372805024,435
16,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 19]",0.12278002300139053,3.4949985706610285,3.5166839907759537,1631.7413717200425,464
17,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 19, 23]",0.07452340232914437,3.293794148994447,3.3176828450742453,1635.617642621603,493
18,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 23]",-0.1467322900377463,3.102653791270437,3.1467026509970815,1642.5787838204765,522
19,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 21, 23]",-0.162006308456943,2.9308295754953115,3.0194235262321736,1663.7023629539276,551
20,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23]",-0.19824173006518245,2.7743760102172863,2.919676502894579,1693.4123716788556,580
21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 23]",-0.21604866277040996,2.6319748353131107,2.797685888264121,1703.7907059528495,609
22,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23]",-0.40497524458786427,2.493931649863066,2.6978825673865905,1721.2490779926447,638
23,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23]",-0.5908469548718632,2.359810840961548,2.588434252896538,1726.4856466819908,667
24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",-0.9800302568797469,2.2206507952181602,2.4703814977855725,1719.3855224587585,696
