hour,光伏出力MW,省调负荷MW,实时价,价格std,净负荷MW,日前误差,收益
0,0.0,36425.872,427.487,28.708,36425.872,14.149,0.105
1,0.0,35035.828,422.075,27.952,35035.828,13.258,0.964
2,0.0,33981.589,412.757,41.455,33981.589,16.699,0.678
3,0.0,33195.858,410.115,45.557,33195.858,22.384,0.346
4,0.0,32955.916,406.896,55.564,32955.916,25.437,0.375
5,0.0,33573.789,415.598,30.88,33573.789,14.691,0.358
6,0.0,34167.477,414.134,19.822,34167.477,8.318,0.5
7,177.221,36366.034,421.997,21.212,36188.813,9.038,1.216
8,1293.265,35996.502,412.434,55.388,34703.237,18.419,0.477
9,2923.061,32571.492,314.141,143.551,29648.431,74.933,5.073
10,3950.263,29497.497,193.454,184.907,25547.233,85.065,8.853
11,4048.074,26819.744,163.748,184.238,22771.67,68.534,6.431
12,4109.441,26704.134,153.286,176.572,22594.693,65.015,0.602
13,4118.945,27771.915,165.377,173.656,23652.97,70.018,9.588
14,3463.421,28471.159,176.253,177.868,25007.739,86.265,11.798
15,2127.513,31382.824,250.272,176.025,29255.311,116.266,9.788
16,564.191,36171.952,415.113,23.94,35607.76,19.732,-0.374
17,47.718,38801.597,417.508,21.946,38753.879,15.303,0.24
18,23.211,39306.947,418.167,20.799,39283.736,10.881,0.181
19,6.144,38618.164,413.284,26.107,38612.02,14.272,0.449
20,0.374,38076.36,408.657,27.81,38075.987,18.876,1.024
21,0.0,37144.251,413.339,24.527,37144.251,11.577,0.728
22,0.0,35315.995,405.204,26.321,35315.995,16.643,-0.245
23,0.0,36190.846,421.193,35.067,36190.846,20.653,0.134
