feature_1,feature_2,R2_base,R2_with_interaction,interaction_gain
Δ负荷率,Δ新能源负荷(MW),0.06950503134777031,0.08189610838103178,0.012391077033261477
Δ负荷率,Δ新能源占比,0.0597250184339837,0.06751962284712765,0.007794604413143946
Δ非市场化出力(MW),Δ新能源占比,0.02395236461348671,0.03161975876817735,0.007667394154690643
Δ省调负荷(MW),Δ新能源负荷(MW),0.07338401725234223,0.0785129993379382,0.005128982085595979
Δ负荷率,Δ非市场化出力(MW),0.05295574704528916,0.056840858823220985,0.0038851117779318267
Δ竞价空间(MW),Δ新能源占比,0.05817250267975105,0.06153546002015331,0.0033629573404022617
Δ风电负荷(MW),Δ新能源占比,0.02999465847564775,0.03305533984316411,0.0030606813675163602
Δ竞价空间(MW),Δ非市场化出力(MW),0.059755356578819474,0.06234862550953668,0.0025932689307172074
Δ新能源负荷(MW),Δ非市场化出力(MW),0.038161169300013786,0.04068182415646582,0.0025206548564520315
Δ省调负荷(MW),Δ新能源占比,0.06518581500865095,0.06718035412968115,0.0019945391210302033
Δ省调负荷(MW),Δ负荷率,0.04537804749903196,0.04694259934773193,0.0015645518486999688
Δ竞价空间(MW),Δ新能源负荷(MW),0.06209231470959675,0.06353882119869125,0.0014465064890945012
Δ负荷率,Δ风电负荷(MW),0.06612281636364503,0.06756271840813599,0.0014399020444909594
Δ新能源负荷(MW),Δ风电负荷(MW),0.038817150383795074,0.0401146237952833,0.0012974734114882258
Δ省调负荷(MW),Δ非市场化出力(MW),0.05651898007471945,0.057570102005530144,0.0010511219308106945
Δ竞价空间(MW),Δ负荷率,0.07406449072096633,0.07467014912282421,0.0006056584018578892
Δ风电负荷(MW),Δ非市场化出力(MW),0.030198468933808953,0.030748931153774417,0.0005504622199654641
Δ省调负荷(MW),Δ风电负荷(MW),0.06890724738859322,0.06917353004573845,0.0002662826571452337
Δ竞价空间(MW),Δ风电负荷(MW),0.06277748234077196,0.06296123145172305,0.00018374911095109248
Δ竞价空间(MW),Δ省调负荷(MW),0.07444935370710848,0.07453152810007502,8.217439296653861e-05
Δ新能源负荷(MW),Δ新能源占比,0.043093747355950285,0.04310637163853004,1.262428257975401e-05
