model,n_features,R2,R2_increment
Δ竞价空间(MW),1,0.05766533402373619,0.05766533402373619
Δ省调负荷(MW),1,0.04520885235593475,0.04520885235593475
Δ负荷率,1,0.041522647950731906,0.041522647950731906
Δ新能源负荷(MW),1,0.037781993239945466,0.037781993239945466
Δ风电负荷(MW),1,0.027304390880594998,0.027304390880594998
Δ非市场化出力(MW),1,0.018907096945156465,0.018907096945156465
Δ新能源占比,1,0.018098093369085855,0.018098093369085855
Δ竞价空间(MW),1,0.05766533402373619,0.05766533402373619
Δ竞价空间(MW) + Δ省调负荷(MW),2,0.07444935370710848,0.016784019683372287
Δ竞价空间(MW) + Δ省调负荷(MW) + Δ负荷率,3,0.07489063824239173,0.0004412845352832484
Δ竞价空间(MW) + Δ省调负荷(MW) + Δ负荷率 + Δ新能源负荷(MW),4,0.08163035498107707,0.006739716738685342
Δ竞价空间(MW) + Δ省调负荷(MW) + Δ负荷率 + Δ新能源负荷(MW) + Δ风电负荷(MW),5,0.08374121716266802,0.0021108621815909556
Δ竞价空间(MW) + Δ省调负荷(MW) + Δ负荷率 + Δ新能源负荷(MW) + Δ风电负荷(MW) + Δ非市场化出力(MW),6,0.08380664945310679,6.543229043876053e-05
Δ竞价空间(MW) + Δ省调负荷(MW) + Δ负荷率 + Δ新能源负荷(MW) + Δ风电负荷(MW) + Δ非市场化出力(MW) + Δ新能源占比,7,0.08819648665864566,0.004389837205538871
