public_date,coal_max_price,changeprice,bl
2024-06-05,718.0,2.0,0.28
2024-06-12,718.0,0.0,0.0
2024-06-19,718.0,0.0,0.0
2024-06-26,717.0,-1.0,-0.14
2024-07-03,715.0,-2.0,-0.28
2024-07-10,715.0,0.0,0.0
2024-07-17,715.0,0.0,0.0
2024-07-24,715.0,0.0,0.0
2024-07-31,715.0,0.0,0.0
2024-08-07,714.0,-1.0,-0.14
2024-08-14,714.0,0.0,0.0
2024-08-21,713.0,-1.0,-0.14
2024-08-28,713.0,0.0,0.0
2024-09-04,712.0,-1.0,-0.14
2024-09-11,712.0,0.0,0.0
2024-09-19,713.0,1.0,0.14
2024-09-25,714.0,1.0,0.14
2024-10-09,716.0,2.0,0.28
2024-10-16,715.0,-1.0,-0.14
2024-10-23,715.0,0.0,0.0
2024-10-30,715.0,0.0,0.0
2024-11-06,714.0,-1.0,-0.14
2024-11-13,714.0,0.0,0.0
2024-11-20,713.0,-1.0,-0.14
2024-11-27,712.0,-1.0,-0.14
2024-12-04,708.0,-4.0,-0.56
2024-12-11,707.0,-1.0,-0.14
2024-12-18,705.0,-2.0,-0.28
2024-12-25,703.0,-2.0,-0.28
2025-01-02,703.0,0.0,0.0
2025-01-08,701.0,-2.0,-0.28
2025-01-15,701.0,0.0,0.0
2025-01-22,701.0,0.0,0.0
2025-02-06,698.0,-2.0,-0.29
2025-02-12,698.0,0.0,0.0
2025-02-19,696.0,-2.0,-0.29
2025-02-26,694.0,-2.0,-0.29
2025-03-05,687.0,-7.0,-1.01
2025-03-12,687.0,0.0,0.0
2025-03-19,686.0,-1.0,-0.15
2025-03-26,685.0,-1.0,-0.15
2025-04-02,685.0,0.0,0.0
2025-04-09,678.0,-7.0,-1.02
2025-04-16,678.0,0.0,0.0
2025-04-23,678.0,0.0,0.0
2025-04-30,677.0,-1.0,-0.15
2025-05-07,673.0,-4.0,-0.59
2025-05-14,671.0,-2.0,-0.3
2025-05-21,669.0,-2.0,-0.3
2025-05-28,669.0,0.0,0.0
2025-06-04,669.0,0.0,0.0
2025-06-11,663.0,-6.0,-0.9
2025-06-18,663.0,0.0,0.0
2025-06-25,663.0,0.0,0.0
2025-07-02,664.0,1.0,0.15
2025-07-09,664.0,0.0,0.0
2025-07-16,664.0,0.0,0.0
2025-07-23,664.0,1.0,0.15
2025-07-30,665.0,1.0,0.15
2025-08-06,668.0,3.0,0.45
2025-08-13,670.0,2.0,0.3
2025-08-20,671.0,1.0,0.15
2025-08-27,671.0,0.0,0.0
2025-09-03,676.0,5.0,0.75
2025-09-10,675.0,-1.0,-0.15
2025-09-17,676.0,1.0,0.15
2025-09-24,677.0,1.0,0.15
2025-10-15,680.0,3.0,0.44
2025-10-22,684.0,4.0,0.59
2025-10-29,685.0,1.0,0.15
2025-11-05,694.0,9.0,1.31
2025-11-12,698.0,4.0,0.58
2025-11-19,698.0,0.0,0.0
2025-11-26,698.0,0.0,0.0
2025-12-03,706.0,8.0,1.15
2025-12-10,703.0,-3.0,-0.42
2025-12-17,699.0,-4.0,-0.57
2025-12-24,695.0,-4.0,-0.57
2025-12-31,693.0,-2.0,-0.29
2026-01-07,685.0,-8.0,-1.15
2026-01-14,686.0,1.0,0.15
2026-01-21,685.0,-1.0,-0.15
2026-01-28,685.0,-1.0,-0.15
2026-02-04,682.0,-3.0,-0.44
2026-02-11,682.0,0.0,0.0
2026-02-25,685.0,3.0,0.44
2026-03-04,689.0,4.0,0.58
2026-03-11,689.0,0.0,0.0
2026-03-18,687.0,-2.0,-0.29
2026-03-25,688.0,1.0,0.15
2026-04-01,690.0,2.0,0.29
2026-04-08,693.0,3.0,0.43
2026-04-15,693.0,0.0,0.0
2026-04-22,694.0,1.0,0.14
2026-04-29,695.0,1.0,0.14
2026-05-07,702.0,7.0,1.01
2026-05-13,704.0,2.0,0.28
2026-05-20,704.0,0.0,0.0
2026-05-27,704.0,0.0,0.0
2026-06-03,713.0,9.0,1.28
2026-06-10,714.0,1.0,0.14
